Task ID,Task Name,SOPs,PPEs
66,Task 66: Operation Mechanical Assembly,"SOP 132: Detailed Procedure on Task, SOP 462: Detailed Procedure on Task, SOP 130: Detailed Procedure on Task, SOP 736: Detailed Procedure on Task, SOP 848: Detailed Procedure on Task","Gloves, Goggles"
67,Task 67: Operation Mechanical Assembly,"SOP 400: Detailed Procedure on Task, SOP 443: Detailed Procedure on Task, SOP 685: Detailed Procedure on Task","Goggles, Ear Plugs, Apron, Insulated Gloves, Respirator"
68,Task 68: Operation Plumbing,"SOP 273: Detailed Procedure on Task, SOP 160: Detailed Procedure on Task, SOP 831: Detailed Procedure on Task, SOP 750: Detailed Procedure on Task, SOP 832: Detailed Procedure on Task","Insulated Gloves, Goggles"
69,Task 69: Operation Welding,"SOP 809: Detailed Procedure on Task, SOP 644: Detailed Procedure on Task, SOP 693: Detailed Procedure on Task, SOP 970: Detailed Procedure on Task","Goggles, Apron, Insulated Gloves"
70,Task 70: Operation Chemical Handling,"SOP 700: Detailed Procedure on Task, SOP 701: Detailed Procedure on Task, SOP 883: Detailed Procedure on Task","Ear Plugs, Gloves, Apron, Goggles"
71,Task 71: Operation Plumbing,"SOP 571: Detailed Procedure on Task, SOP 254: Detailed Procedure on Task","Goggles, Safety Boots, Gloves"
72,Task 72: Operation Welding,"SOP 371: Detailed Procedure on Task, SOP 593: Detailed Procedure on Task","Safety Boots, Apron, Face Shield, Respirator, Ear Plugs"
73,Task 73: Operation Painting,"SOP 211: Detailed Procedure on Task, SOP 925: Detailed Procedure on Task, SOP 127: Detailed Procedure on Task, SOP 972: Detailed Procedure on Task, SOP 452: Detailed Procedure on Task","Helmet, Ear Plugs"
74,Task 74: Operation Chemical Handling,"SOP 461: Detailed Procedure on Task, SOP 859: Detailed Procedure on Task, SOP 624: Detailed Procedure on Task, SOP 752: Detailed Procedure on Task, SOP 445: Detailed Procedure on Task","Respirator, Safety Boots, Goggles, Helmet"
75,Task 75: Operation Chemical Handling,"SOP 834: Detailed Procedure on Task, SOP 371: Detailed Procedure on Task","Safety Boots, Ear Plugs, Respirator, Goggles, Helmet"
76,Task 76: Operation Welding,"SOP 224: Detailed Procedure on Task, SOP 473: Detailed Procedure on Task","Helmet, Face Shield, Ear Plugs"
77,Task 77: Operation Welding,"SOP 598: Detailed Procedure on Task, SOP 315: Detailed Procedure on Task, SOP 281: Detailed Procedure on Task, SOP 704: Detailed Procedure on Task","Apron, Face Shield, Respirator"
78,Task 78: Operation Mechanical Assembly,"SOP 723: Detailed Procedure on Task, SOP 318: Detailed Procedure on Task, SOP 270: Detailed Procedure on Task","Gloves, Apron, Respirator, Safety Boots"
79,Task 79: Operation Welding,"SOP 465: Detailed Procedure on Task, SOP 967: Detailed Procedure on Task, SOP 312: Detailed Procedure on Task, SOP 961: Detailed Procedure on Task","Helmet, Safety Boots, Apron, Insulated Gloves"
80,Task 80: Operation Electrical Repair,"SOP 270: Detailed Procedure on Task, SOP 477: Detailed Procedure on Task, SOP 374: Detailed Procedure on Task","Respirator, Gloves, Safety Boots, Apron"
81,Task 81: Operation Welding,"SOP 280: Detailed Procedure on Task, SOP 328: Detailed Procedure on Task, SOP 581: Detailed Procedure on Task, SOP 977: Detailed Procedure on Task","Respirator, Apron"
82,Task 82: Operation Welding,"SOP 578: Detailed Procedure on Task, SOP 201: Detailed Procedure on Task, SOP 993: Detailed Procedure on Task, SOP 434: Detailed Procedure on Task, SOP 201: Detailed Procedure on Task","Safety Boots, Helmet, Apron, Face Shield"
83,Task 83: Operation Mechanical Assembly,"SOP 768: Detailed Procedure on Task, SOP 236: Detailed Procedure on Task","Goggles, Apron, Insulated Gloves, Safety Boots, Respirator"
84,Task 84: Operation Chemical Handling,"SOP 978: Detailed Procedure on Task, SOP 605: Detailed Procedure on Task, SOP 954: Detailed Procedure on Task","Respirator, Insulated Gloves, Safety Boots, Helmet"
85,Task 85: Operation Mechanical Assembly,"SOP 794: Detailed Procedure on Task, SOP 486: Detailed Procedure on Task","Safety Boots, Face Shield"
86,Task 86: Operation Painting,"SOP 131: Detailed Procedure on Task, SOP 755: Detailed Procedure on Task, SOP 408: Detailed Procedure on Task, SOP 301: Detailed Procedure on Task, SOP 494: Detailed Procedure on Task","Goggles, Safety Boots, Insulated Gloves, Respirator, Face Shield"
87,Task 87: Operation Mechanical Assembly,"SOP 769: Detailed Procedure on Task, SOP 142: Detailed Procedure on Task, SOP 696: Detailed Procedure on Task, SOP 983: Detailed Procedure on Task, SOP 564: Detailed Procedure on Task","Helmet, Gloves, Goggles, Safety Boots"
88,Task 88: Operation Welding,"SOP 316: Detailed Procedure on Task, SOP 240: Detailed Procedure on Task, SOP 317: Detailed Procedure on Task, SOP 528: Detailed Procedure on Task, SOP 495: Detailed Procedure on Task","Face Shield, Respirator, Insulated Gloves, Safety Boots, Gloves"
89,Task 89: Operation Welding,"SOP 537: Detailed Procedure on Task, SOP 293: Detailed Procedure on Task, SOP 770: Detailed Procedure on Task, SOP 998: Detailed Procedure on Task","Gloves, Helmet, Apron, Insulated Gloves"
90,Task 90: Operation Chemical Handling,"SOP 922: Detailed Procedure on Task, SOP 321: Detailed Procedure on Task, SOP 186: Detailed Procedure on Task, SOP 121: Detailed Procedure on Task","Insulated Gloves, Ear Plugs"
91,Task 91: Operation Electrical Repair,"SOP 761: Detailed Procedure on Task, SOP 241: Detailed Procedure on Task, SOP 138: Detailed Procedure on Task, SOP 296: Detailed Procedure on Task, SOP 346: Detailed Procedure on Task","Safety Boots, Helmet, Gloves, Face Shield"
92,Task 92: Operation Electrical Repair,"SOP 940: Detailed Procedure on Task, SOP 495: Detailed Procedure on Task, SOP 302: Detailed Procedure on Task, SOP 218: Detailed Procedure on Task","Safety Boots, Helmet, Respirator, Face Shield"
93,Task 93: Operation Chemical Handling,"SOP 750: Detailed Procedure on Task, SOP 220: Detailed Procedure on Task, SOP 793: Detailed Procedure on Task","Insulated Gloves, Respirator, Goggles, Gloves"
94,Task 94: Operation Electrical Repair,"SOP 466: Detailed Procedure on Task, SOP 102: Detailed Procedure on Task, SOP 770: Detailed Procedure on Task, SOP 577: Detailed Procedure on Task","Insulated Gloves, Apron, Helmet, Goggles, Face Shield"
95,Task 95: Operation Welding,"SOP 139: Detailed Procedure on Task, SOP 798: Detailed Procedure on Task, SOP 592: Detailed Procedure on Task, SOP 970: Detailed Procedure on Task, SOP 832: Detailed Procedure on Task","Helmet, Safety Boots, Goggles"
96,Task 96: Operation Welding,"SOP 218: Detailed Procedure on Task, SOP 204: Detailed Procedure on Task, SOP 332: Detailed Procedure on Task","Helmet, Insulated Gloves, Gloves, Respirator"
97,Task 97: Operation Mechanical Assembly,"SOP 358: Detailed Procedure on Task, SOP 684: Detailed Procedure on Task, SOP 614: Detailed Procedure on Task, SOP 993: Detailed Procedure on Task, SOP 181: Detailed Procedure on Task","Goggles, Apron, Face Shield"
98,Task 98: Operation Electrical Repair,"SOP 976: Detailed Procedure on Task, SOP 211: Detailed Procedure on Task, SOP 914: Detailed Procedure on Task, SOP 800: Detailed Procedure on Task, SOP 940: Detailed Procedure on Task","Goggles, Gloves, Insulated Gloves, Ear Plugs"
99,Task 99: Operation Electrical Repair,"SOP 357: Detailed Procedure on Task, SOP 178: Detailed Procedure on Task, SOP 420: Detailed Procedure on Task, SOP 282: Detailed Procedure on Task","Goggles, Apron"
100,Task 100: Operation Chemical Handling,"SOP 878: Detailed Procedure on Task, SOP 144: Detailed Procedure on Task, SOP 380: Detailed Procedure on Task","Respirator, Apron, Insulated Gloves"
101,Task 101: Operation Welding,"SOP 468: Detailed Procedure on Task, SOP 430: Detailed Procedure on Task, SOP 773: Detailed Procedure on Task","Gloves, Respirator"
102,Task 102: Operation Painting,"SOP 830: Detailed Procedure on Task, SOP 908: Detailed Procedure on Task","Ear Plugs, Safety Boots, Respirator"
103,Task 103: Operation Painting,"SOP 680: Detailed Procedure on Task, SOP 167: Detailed Procedure on Task, SOP 909: Detailed Procedure on Task, SOP 224: Detailed Procedure on Task","Safety Boots, Goggles, Face Shield"
104,Task 104: Operation Electrical Repair,"SOP 456: Detailed Procedure on Task, SOP 429: Detailed Procedure on Task, SOP 452: Detailed Procedure on Task","Apron, Respirator"
105,Task 105: Operation Electrical Repair,"SOP 835: Detailed Procedure on Task, SOP 825: Detailed Procedure on Task, SOP 153: Detailed Procedure on Task","Face Shield, Gloves, Respirator, Insulated Gloves"
106,Task 106: Operation Welding,"SOP 173: Detailed Procedure on Task, SOP 679: Detailed Procedure on Task, SOP 660: Detailed Procedure on Task, SOP 445: Detailed Procedure on Task","Insulated Gloves, Safety Boots, Helmet"
107,Task 107: Operation Welding,"SOP 412: Detailed Procedure on Task, SOP 510: Detailed Procedure on Task, SOP 416: Detailed Procedure on Task, SOP 275: Detailed Procedure on Task","Insulated Gloves, Safety Boots"
108,Task 108: Operation Painting,"SOP 274: Detailed Procedure on Task, SOP 464: Detailed Procedure on Task","Insulated Gloves, Safety Boots, Apron"
109,Task 109: Operation Painting,"SOP 189: Detailed Procedure on Task, SOP 562: Detailed Procedure on Task, SOP 980: Detailed Procedure on Task","Helmet, Face Shield, Respirator, Goggles, Insulated Gloves"
110,Task 110: Operation Mechanical Assembly,"SOP 310: Detailed Procedure on Task, SOP 665: Detailed Procedure on Task, SOP 717: Detailed Procedure on Task, SOP 106: Detailed Procedure on Task, SOP 778: Detailed Procedure on Task","Gloves, Goggles"
111,Task 111: Operation Chemical Handling,"SOP 233: Detailed Procedure on Task, SOP 125: Detailed Procedure on Task, SOP 992: Detailed Procedure on Task, SOP 319: Detailed Procedure on Task","Gloves, Safety Boots"
112,Task 112: Operation Welding,"SOP 853: Detailed Procedure on Task, SOP 342: Detailed Procedure on Task, SOP 277: Detailed Procedure on Task, SOP 493: Detailed Procedure on Task, SOP 263: Detailed Procedure on Task","Gloves, Apron, Insulated Gloves, Safety Boots, Face Shield"
113,Task 113: Operation Painting,"SOP 856: Detailed Procedure on Task, SOP 992: Detailed Procedure on Task, SOP 683: Detailed Procedure on Task","Ear Plugs, Respirator"
114,Task 114: Operation Plumbing,"SOP 188: Detailed Procedure on Task, SOP 783: Detailed Procedure on Task, SOP 488: Detailed Procedure on Task, SOP 843: Detailed Procedure on Task, SOP 785: Detailed Procedure on Task","Goggles, Face Shield, Safety Boots, Respirator, Gloves"
115,Task 115: Operation Plumbing,"SOP 623: Detailed Procedure on Task, SOP 847: Detailed Procedure on Task","Apron, Gloves, Face Shield, Ear Plugs"
116,Task 116: Operation Electrical Repair,"SOP 565: Detailed Procedure on Task, SOP 776: Detailed Procedure on Task","Helmet, Goggles, Apron"
117,Task 117: Operation Welding,"SOP 344: Detailed Procedure on Task, SOP 573: Detailed Procedure on Task, SOP 244: Detailed Procedure on Task","Insulated Gloves, Gloves, Ear Plugs"
118,Task 118: Operation Plumbing,"SOP 912: Detailed Procedure on Task, SOP 204: Detailed Procedure on Task, SOP 770: Detailed Procedure on Task, SOP 771: Detailed Procedure on Task","Apron, Safety Boots, Ear Plugs"
119,Task 119: Operation Painting,"SOP 376: Detailed Procedure on Task, SOP 302: Detailed Procedure on Task, SOP 767: Detailed Procedure on Task, SOP 485: Detailed Procedure on Task","Face Shield, Helmet, Goggles, Respirator, Ear Plugs"
120,Task 120: Operation Plumbing,"SOP 866: Detailed Procedure on Task, SOP 147: Detailed Procedure on Task, SOP 417: Detailed Procedure on Task, SOP 319: Detailed Procedure on Task","Apron, Respirator, Helmet, Ear Plugs"
121,Task 121: Operation Chemical Handling,"SOP 962: Detailed Procedure on Task, SOP 279: Detailed Procedure on Task, SOP 615: Detailed Procedure on Task, SOP 796: Detailed Procedure on Task, SOP 234: Detailed Procedure on Task","Safety Boots, Gloves"
122,Task 122: Operation Painting,"SOP 607: Detailed Procedure on Task, SOP 197: Detailed Procedure on Task, SOP 433: Detailed Procedure on Task, SOP 840: Detailed Procedure on Task, SOP 454: Detailed Procedure on Task","Safety Boots, Insulated Gloves, Helmet"
123,Task 123: Operation Painting,"SOP 822: Detailed Procedure on Task, SOP 608: Detailed Procedure on Task","Ear Plugs, Insulated Gloves, Gloves, Goggles"
124,Task 124: Operation Mechanical Assembly,"SOP 983: Detailed Procedure on Task, SOP 756: Detailed Procedure on Task","Goggles, Safety Boots"
125,Task 125: Operation Electrical Repair,"SOP 671: Detailed Procedure on Task, SOP 869: Detailed Procedure on Task","Goggles, Gloves, Apron, Face Shield"
126,Task 126: Operation Electrical Repair,"SOP 318: Detailed Procedure on Task, SOP 307: Detailed Procedure on Task, SOP 966: Detailed Procedure on Task, SOP 603: Detailed Procedure on Task","Respirator, Goggles"
127,Task 127: Operation Chemical Handling,"SOP 275: Detailed Procedure on Task, SOP 734: Detailed Procedure on Task, SOP 626: Detailed Procedure on Task, SOP 788: Detailed Procedure on Task, SOP 610: Detailed Procedure on Task","Safety Boots, Ear Plugs, Face Shield, Goggles"
128,Task 128: Operation Mechanical Assembly,"SOP 434: Detailed Procedure on Task, SOP 855: Detailed Procedure on Task, SOP 882: Detailed Procedure on Task","Respirator, Gloves"
129,Task 129: Operation Chemical Handling,"SOP 976: Detailed Procedure on Task, SOP 289: Detailed Procedure on Task, SOP 833: Detailed Procedure on Task, SOP 881: Detailed Procedure on Task","Apron, Respirator, Gloves, Insulated Gloves"
130,Task 130: Operation Plumbing,"SOP 291: Detailed Procedure on Task, SOP 999: Detailed Procedure on Task, SOP 636: Detailed Procedure on Task, SOP 764: Detailed Procedure on Task","Safety Boots, Respirator"
131,Task 131: Operation Painting,"SOP 591: Detailed Procedure on Task, SOP 296: Detailed Procedure on Task, SOP 412: Detailed Procedure on Task, SOP 474: Detailed Procedure on Task, SOP 248: Detailed Procedure on Task","Ear Plugs, Face Shield, Safety Boots, Apron"
132,Task 132: Operation Chemical Handling,"SOP 213: Detailed Procedure on Task, SOP 188: Detailed Procedure on Task, SOP 695: Detailed Procedure on Task, SOP 103: Detailed Procedure on Task","Insulated Gloves, Apron, Ear Plugs, Safety Boots"
133,Task 133: Operation Plumbing,"SOP 211: Detailed Procedure on Task, SOP 949: Detailed Procedure on Task, SOP 327: Detailed Procedure on Task, SOP 156: Detailed Procedure on Task, SOP 690: Detailed Procedure on Task","Ear Plugs, Insulated Gloves"
134,Task 134: Operation Welding,"SOP 262: Detailed Procedure on Task, SOP 749: Detailed Procedure on Task","Apron, Face Shield"
135,Task 135: Operation Electrical Repair,"SOP 121: Detailed Procedure on Task, SOP 420: Detailed Procedure on Task, SOP 607: Detailed Procedure on Task, SOP 268: Detailed Procedure on Task","Safety Boots, Helmet, Respirator, Ear Plugs, Insulated Gloves"
136,Task 136: Operation Electrical Repair,"SOP 497: Detailed Procedure on Task, SOP 363: Detailed Procedure on Task, SOP 317: Detailed Procedure on Task","Safety Boots, Helmet"
137,Task 137: Operation Welding,"SOP 868: Detailed Procedure on Task, SOP 562: Detailed Procedure on Task","Face Shield, Helmet"
138,Task 138: Operation Plumbing,"SOP 878: Detailed Procedure on Task, SOP 598: Detailed Procedure on Task, SOP 380: Detailed Procedure on Task","Safety Boots, Ear Plugs, Apron, Gloves, Goggles"
